Name,Description
JON HALLETT,
DAVID POLITIS,
DAVID ARONOFF,David Aronoff is a General Partner at Flybridge Capital Partners and currently manages the firm’s New York City office.
ENRIQUE SALEM,"Enrique joined Bain Capital Ventures in 2014, where he focuses on infrastructure software and services. Previously, he was CEO of Symantec (Nasdaq: SYMC)."
ARUN MATHEW,"Arun Mathew joined Accel in 2009 and leads growth investments in the enterprise, security, and infrastructure markets."
BRIAN CHANG,"Brian Chang is Managing Director at Warburg Pincus and focuses on investments in the technology, software, and financial technology sectors."
